Comparison,PFT,FCEV (%),FCTR (%),FGEV (%),ET (%)
GEDI Mean vs CLM Default,NET Temperate,-0.03,+0.12,-0.20,+0.01
GEDI Mean vs CLM Default,NET Boreal,-1.03,-0.07,-0.69,-0.38
GEDI Mean vs CLM Default,NDT Boreal,-2.09,+0.41,-1.95,-0.49
GEDI Mean vs CLM Default,BET Tropical,-1.94,+3.56,-2.69,+1.53
GEDI Mean vs CLM Default,BET Temperate,-4.18,+5.50,-3.13,+2.39
GEDI Mean vs CLM Default,BDT Tropical,-1.14,-1.05,-1.41,-1.13
GEDI Mean vs CLM Default,BDT Temperate,-1.94,+2.32,-1.35,+1.00
GEDI Mean vs CLM Default,BDT Boreal,-2.30,+4.13,-2.61,+1.42
GEDI Max vs CLM Default,NET Temperate,+2.83,-1.42,+1.07,+0.12
GEDI Max vs CLM Default,NET Boreal,+5.17,-1.47,+1.35,+0.23
GEDI Max vs CLM Default,NDT Boreal,+0.59,-0.22,+0.18,-0.03
GEDI Max vs CLM Default,BET Tropical,+2.29,-2.71,+2.14,-0.95
GEDI Max vs CLM Default,BET Temperate,+1.24,+0.31,+0.54,+0.52
GEDI Max vs CLM Default,BDT Tropical,+3.25,-1.88,+1.48,-0.48
GEDI Max vs CLM Default,BDT Temperate,+1.85,-1.82,+0.78,-0.79
GEDI Max vs CLM Default,BDT Boreal,+2.10,-2.21,+0.19,-0.98
GEDI Median vs CLM Default,NET Temperate,+0.24,-0.02,-0.09,+0.02
GEDI Median vs CLM Default,NET Boreal,-0.48,-0.22,-0.39,-0.30
GEDI Median vs CLM Default,NDT Boreal,-1.78,+0.35,-1.63,-0.41
GEDI Median vs CLM Default,BET Tropical,-1.60,+3.08,-2.29,+1.35
GEDI Median vs CLM Default,BET Temperate,-3.73,+5.10,-2.82,+2.26
GEDI Median vs CLM Default,BDT Tropical,-0.46,-0.98,-1.07,-0.91
GEDI Median vs CLM Default,BDT Temperate,-1.54,+1.98,-1.14,+0.87
GEDI Median vs CLM Default,BDT Boreal,-1.84,+3.46,-2.26,+1.18
GEDI Max vs GEDI Mean,NET Temperate,+2.86,-1.54,+1.28,+0.11
GEDI Max vs GEDI Mean,NET Boreal,+6.26,-1.40,+2.06,+0.61
GEDI Max vs GEDI Mean,NDT Boreal,+2.73,-0.63,+2.18,+0.47
GEDI Max vs GEDI Mean,BET Tropical,+4.31,-6.06,+4.96,-2.44
GEDI Max vs GEDI Mean,BET Temperate,+5.66,-4.92,+3.79,-1.83
GEDI Max vs GEDI Mean,BDT Tropical,+4.43,-0.83,+2.93,+0.66
GEDI Max vs GEDI Mean,BDT Temperate,+3.86,-4.04,+2.16,-1.78
GEDI Max vs GEDI Mean,BDT Boreal,+4.50,-6.08,+2.87,-2.37
GEDI Median vs GEDI Mean,NET Temperate,+0.27,-0.15,+0.11,+0.01
GEDI Median vs GEDI Mean,NET Boreal,+0.56,-0.15,+0.31,+0.08
GEDI Median vs GEDI Mean,NDT Boreal,+0.31,-0.07,+0.33,+0.08
GEDI Median vs GEDI Mean,BET Tropical,+0.34,-0.46,+0.41,-0.18
GEDI Median vs GEDI Mean,BET Temperate,+0.48,-0.38,+0.33,-0.13
GEDI Median vs GEDI Mean,BDT Tropical,+0.68,+0.08,+0.35,+0.22
GEDI Median vs GEDI Mean,BDT Temperate,+0.40,-0.33,+0.22,-0.13
GEDI Median vs GEDI Mean,BDT Boreal,+0.47,-0.64,+0.36,-0.23
