Comparison,PFT,FCEV (W/m2),FCTR (W/m2),FGEV (W/m2),ET (W/m2)
GEDI Mean vs CLM Default,NET Temperate,-0.0002,+0.0025,-0.0019,+0.0004
GEDI Mean vs CLM Default,NET Boreal,-0.0057,-0.0017,-0.0084,-0.0158
GEDI Mean vs CLM Default,NDT Boreal,-0.0040,+0.0044,-0.0090,-0.0085
GEDI Mean vs CLM Default,BET Tropical,-0.1552,+0.7106,-0.0819,+0.4735
GEDI Mean vs CLM Default,BET Temperate,-0.0334,+0.1518,-0.0189,+0.0996
GEDI Mean vs CLM Default,BDT Tropical,-0.0054,-0.0212,-0.0077,-0.0343
GEDI Mean vs CLM Default,BDT Temperate,-0.0075,+0.0441,-0.0079,+0.0287
GEDI Mean vs CLM Default,BDT Boreal,-0.0025,+0.0200,-0.0059,+0.0116
GEDI Max vs CLM Default,NET Temperate,+0.0232,-0.0286,+0.0100,+0.0046
GEDI Max vs CLM Default,NET Boreal,+0.0285,-0.0353,+0.0164,+0.0097
GEDI Max vs CLM Default,NDT Boreal,+0.0011,-0.0024,+0.0008,-0.0004
GEDI Max vs CLM Default,BET Tropical,+0.1832,-0.5419,+0.0649,-0.2937
GEDI Max vs CLM Default,BET Temperate,+0.0099,+0.0085,+0.0033,+0.0217
GEDI Max vs CLM Default,BDT Tropical,+0.0153,-0.0378,+0.0081,-0.0144
GEDI Max vs CLM Default,BDT Temperate,+0.0071,-0.0345,+0.0046,-0.0228
GEDI Max vs CLM Default,BDT Boreal,+0.0023,-0.0107,+0.0004,-0.0080
GEDI Median vs CLM Default,NET Temperate,+0.0020,-0.0004,-0.0008,+0.0007
GEDI Median vs CLM Default,NET Boreal,-0.0026,-0.0053,-0.0047,-0.0126
GEDI Median vs CLM Default,NDT Boreal,-0.0034,+0.0037,-0.0075,-0.0072
GEDI Median vs CLM Default,BET Tropical,-0.1281,+0.6155,-0.0698,+0.4176
GEDI Median vs CLM Default,BET Temperate,-0.0297,+0.1409,-0.0170,+0.0942
GEDI Median vs CLM Default,BDT Tropical,-0.0022,-0.0197,-0.0058,-0.0277
GEDI Median vs CLM Default,BDT Temperate,-0.0059,+0.0376,-0.0067,+0.0250
GEDI Median vs CLM Default,BDT Boreal,-0.0020,+0.0168,-0.0051,+0.0097
GEDI Max vs GEDI Mean,NET Temperate,+0.0234,-0.0311,+0.0119,+0.0042
GEDI Max vs GEDI Mean,NET Boreal,+0.0342,-0.0336,+0.0248,+0.0254
GEDI Max vs GEDI Mean,NDT Boreal,+0.0051,-0.0068,+0.0098,+0.0081
GEDI Max vs GEDI Mean,BET Tropical,+0.3384,-1.2524,+0.1469,-0.7672
GEDI Max vs GEDI Mean,BET Temperate,+0.0433,-0.1433,+0.0221,-0.0779
GEDI Max vs GEDI Mean,BDT Tropical,+0.0206,-0.0166,+0.0158,+0.0198
GEDI Max vs GEDI Mean,BDT Temperate,+0.0146,-0.0786,+0.0125,-0.0515
GEDI Max vs GEDI Mean,BDT Boreal,+0.0047,-0.0307,+0.0063,-0.0196
GEDI Median vs GEDI Mean,NET Temperate,+0.0022,-0.0029,+0.0011,+0.0003
GEDI Median vs GEDI Mean,NET Boreal,+0.0031,-0.0036,+0.0037,+0.0032
GEDI Median vs GEDI Mean,NDT Boreal,+0.0006,-0.0007,+0.0015,+0.0014
GEDI Median vs GEDI Mean,BET Tropical,+0.0270,-0.0950,+0.0121,-0.0559
GEDI Median vs GEDI Mean,BET Temperate,+0.0037,-0.0110,+0.0019,-0.0054
GEDI Median vs GEDI Mean,BDT Tropical,+0.0032,+0.0016,+0.0019,+0.0066
GEDI Median vs GEDI Mean,BDT Temperate,+0.0015,-0.0065,+0.0013,-0.0037
GEDI Median vs GEDI Mean,BDT Boreal,+0.0005,-0.0032,+0.0008,-0.0019
